iter	Passed	Remaining
0	113	113611
1	115	57720
2	117	38907
3	119	29743
4	120	24039
5	122	20260
6	125	17737
7	126	15686
8	127	14052
9	128	12723
10	129	11637
11	131	10853
12	133	10117
13	134	9491
14	136	8948
15	138	8512
16	139	8092
17	140	7687
18	142	7338
19	143	7045
20	145	6765
21	146	6509
22	148	6294
23	149	6094
24	150	5885
25	152	5717
26	153	5536
27	154	5370
28	155	5211
29	156	5074
30	158	4955
31	159	4823
32	160	4701
33	161	4593
34	166	4595
35	168	4516
36	169	4413
37	171	4339
38	172	4259
39	173	4175
40	175	4094
41	176	4019
42	177	3946
43	179	3902
44	181	3852
45	182	3783
46	183	3720
47	184	3659
48	186	3612
49	187	3554
50	188	3505
51	189	3447
52	190	3398
53	191	3349
54	192	3313
55	194	3279
56	195	3239
57	196	3193
58	197	3148
59	198	3105
60	200	3088
61	201	3050
62	202	3012
63	203	2976
64	204	2938
65	205	2902
66	207	2885
67	209	2871
68	210	2843
69	211	2812
70	212	2782
71	214	2761
72	215	2737
73	216	2709
74	217	2683
75	218	2658
76	219	2630
77	221	2620
78	223	2599
79	224	2579
80	225	2553
81	225	2528
82	226	2501
83	227	2478
84	228	2464
85	230	2451
86	231	2429
87	232	2407
88	233	2389
89	234	2369
90	236	2363
91	238	2352
92	239	2334
93	240	2315
94	241	2295
95	241	2277
96	244	2273
97	245	2257
98	246	2242
99	247	2225
100	248	2209
101	250	2208
102	252	2197
103	254	2189
104	255	2173
105	255	2158
106	257	2149
107	258	2135
108	259	2122
109	260	2107
110	261	2096
111	262	2082
112	263	2069
113	265	2063
114	267	2056
115	268	2045
116	269	2030
117	269	2017
118	271	2012
119	272	2000
120	273	1988
121	274	1973
122	275	1962
123	275	1949
124	276	1937
125	277	1927
126	281	1933
127	282	1923
128	283	1912
129	284	1900
130	285	1891
131	286	1882
132	287	1872
133	288	1862
134	289	1851
135	289	1842
136	290	1832
137	291	1823
138	292	1814
139	294	1806
140	295	1798
141	295	1787
142	296	1777
143	297	1768
144	298	1759
145	299	1750
146	300	1741
147	301	1734
148	302	1726
149	303	1718
150	304	1709
151	304	1701
152	305	1692
153	306	1685
154	307	1677
155	309	1673
156	310	1666
157	311	1658
158	312	1650
159	313	1643
160	313	1634
161	314	1627
162	315	1619
163	316	1611
164	316	1603
165	317	1596
166	318	1588
167	319	1580
168	320	1574
169	321	1570
170	323	1569
171	324	1563
172	325	1556
173	326	1549
174	327	1544
175	328	1537
176	329	1530
177	329	1523
178	330	1516
179	331	1509
180	332	1503
181	333	1497
182	334	1491
183	335	1487
184	336	1483
185	337	1478
186	338	1472
187	339	1466
188	340	1460
189	341	1455
190	342	1449
191	342	1442
192	343	1436
193	344	1430
194	345	1424
195	345	1419
196	346	1413
197	347	1407
198	348	1402
199	349	1397
200	351	1395
201	352	1391
202	352	1385
203	353	1380
204	354	1375
205	355	1371
206	356	1366
207	357	1361
208	358	1355
209	359	1352
210	360	1347
211	361	1343
212	362	1339
213	363	1334
214	364	1330
215	365	1327
216	366	1323
217	367	1317
218	368	1313
219	369	1308
220	369	1303
221	370	1298
222	371	1293
223	372	1288
224	373	1284
225	373	1280
226	374	1275
227	375	1271
228	376	1266
229	377	1262
230	378	1258
231	379	1256
232	380	1252
233	381	1248
234	382	1243
235	382	1239
236	383	1235
237	384	1231
238	385	1227
239	386	1222
240	386	1218
241	387	1214
242	388	1210
243	389	1206
244	390	1203
245	391	1199
246	392	1195
247	393	1192
248	394	1188
249	395	1185
250	395	1181
251	396	1177
252	397	1173
253	398	1169
254	398	1165
255	399	1162
256	400	1158
257	401	1155
258	402	1151
259	403	1148
260	404	1144
261	405	1141
262	405	1137
